inserted_at,institution_id,in-patient,out-patient,total
2021-01-01,09415354-4eb1-4866-87bb-efffe23e196a,0.0,11.0,11.0
2021-01-01,097d4418-6d7c-4922-a703-bde5a6b64919,1.0,19.0,20.0
2021-01-01,0da8e9a5-855d-42c5-9435-d69e1019cafc,0.0,2.0,2.0
2021-01-01,0fa2e546-c292-4060-a05e-beb53fc31e72,0.0,3.0,3.0
2021-01-01,18cb6e95-6073-4102-989e-1b133ac99b29,0.0,1.0,1.0
2021-01-01,19adebda-8361-4267-8ab0-7fe734377602,0.0,2.0,2.0
2021-01-01,19ae2f00-60e7-4db1-8719-644820cc04df,0.0,32.0,32.0
2021-01-01,1a75706d-889a-48ab-a6c7-1fbbd70aeda8,1.0,7.0,8.0
2021-01-01,23533011-6b2e-4aaf-a992-85fcf7bf04d9,0.0,4.0,4.0
2021-01-01,2fa0d571-e424-4ee7-ac8b-deb7792305a7,0.0,13.0,13.0
2021-01-01,33ca2840-08b5-4a3d-bad4-da63350becd9,2.0,5.0,7.0
2021-01-01,355cd89d-faa1-4620-8857-a05a24b513e3,0.0,22.0,22.0
2021-01-01,3651da1c-b313-445b-8a02-75f4b93d2f65,0.0,4.0,4.0
2021-01-01,384b1f28-514a-4a8f-8cc2-f5b2f94d7d09,7.0,8.0,15.0
2021-01-01,3bbbf782-497c-4697-abda-0a88bbee1b38,4.0,16.0,20.0
2021-01-01,46412e2a-6b5f-4d0c-9562-d89c01d15259,1.0,2.0,3.0
2021-01-01,47dc4136-1684-49ed-a1da-945486345c68,0.0,5.0,5.0
2021-01-01,4a94ba5f-a198-47e0-8eac-817b6991a962,0.0,1.0,1.0
2021-01-01,54a4df3e-b280-4c89-9a72-aad7f18b761b,0.0,3.0,3.0
2021-01-01,5ee1f2ed-2622-4012-8c2f-aca9f5c1af3f,4.0,23.0,27.0
2021-01-01,5f3543c7-99d3-4544-9a70-8788be90fce5,0.0,3.0,3.0
2021-01-01,658e24af-453e-4824-a049-5346a5e25964,0.0,2.0,2.0
2021-01-01,67d433c3-01fc-48b8-b86f-83c325fe51cf,0.0,29.0,29.0
2021-01-01,706652e6-6eed-4271-afe8-be8e8322e731,0.0,1.0,1.0
2021-01-01,7b71b487-8a7a-48ad-a817-0eb5b692bfe2,0.0,2.0,2.0
2021-01-01,89629d26-4538-4730-a6f1-cddda2435218,2.0,9.0,11.0
2021-01-01,92fd8fe5-2f7b-4900-a902-0f5afaacd0f0,2.0,4.0,6.0
2021-01-01,94a0a068-e4b8-4e3a-8757-5d2a627d6878,0.0,4.0,4.0
2021-01-01,9db090cf-184b-450e-a07a-97dee812ce0d,2.0,4.0,6.0
2021-01-01,9e1484a3-0235-48c5-aeed-c44451c918fa,0.0,18.0,18.0
2021-01-01,a7058bfa-97cb-4ab0-a959-a782dd3ce6a8,0.0,2.0,2.0
2021-01-01,acc05561-603e-409d-9446-4d03353d7a5c,2.0,5.0,7.0
2021-01-01,b37cc3a6-ab60-4f74-89da-f004a87d6ff4,1.0,7.0,8.0
2021-01-01,bd9a1f13-a52c-4372-a63c-1e49bd7a7bf3,1.0,1.0,2.0
2021-01-01,bf2cf4ca-dac3-4515-ad33-ef66efebeab5,0.0,7.0,7.0
2021-01-01,c2dc34b5-7a9b-4dcb-85ae-b3b6c23d823e,0.0,1.0,1.0
2021-01-01,c7d5aa80-47af-45fd-95d3-c575a44806e5,0.0,2.0,2.0
2021-01-01,cd756fae-c3e3-4176-a4f1-3e5360718d1d,1.0,4.0,5.0
2021-01-01,d8c45b45-c70a-47d6-81ba-da8e0cfac6e0,0.0,1.0,1.0
2021-01-01,e2adc287-86ec-4341-b43d-13cb91255662,0.0,3.0,3.0
2021-01-01,e3115277-d57b-492c-bf7a-1c432ecb473b,0.0,2.0,2.0
2021-01-01,e81b1231-55bc-488a-abf3-9bf0883430ba,0.0,21.0,21.0
2021-01-01,ebb63a9f-bad7-486c-a79e-393b3d0589d2,1.0,2.0,3.0
2021-01-01,ece0641a-2b44-4cb1-8e31-074dd5fbb4f1,0.0,12.0,12.0
2021-01-01,f0440cc7-e404-4a2c-bb0d-baf908e9ff25,0.0,4.0,4.0
2021-01-01,f7427dbb-e87d-4ed2-b168-136c244596b2,0.0,1.0,1.0
2021-01-01,f7a11005-e09a-431b-afe9-95e8ddac81d8,2.0,19.0,21.0
2021-01-02,09415354-4eb1-4866-87bb-efffe23e196a,0.0,21.0,21.0
2021-01-02,097d4418-6d7c-4922-a703-bde5a6b64919,0.0,36.0,36.0
2021-01-02,0da8e9a5-855d-42c5-9435-d69e1019cafc,2.0,5.0,7.0
2021-01-02,0fa2e546-c292-4060-a05e-beb53fc31e72,0.0,25.0,25.0
